pair_id,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,pair000_reference.png,pair000_search.png,dram,sem,504.04,548.12,504.07,547.95,0.1726,1.9426,-0.879,1.0063,0.1272,0
1,pair001_reference.png,pair001_search.png,finfet,sem,731.74,496.68,731.77,496.72,0.05,1.9615,-0.421,0.9797,0.1694,1
2,pair002_reference.png,pair002_search.png,dram,sem,689.86,420.3,689.87,420.27,0.0316,1.9723,1.109,0.9839,0.1811,1
3,pair003_reference.png,pair003_search.png,finfet,sem,516.13,209.03,516.29,208.94,0.1836,1.9539,-0.472,1.0174,0.2417,0
4,pair004_reference.png,pair004_search.png,dram,sem,221.95,393.97,221.85,393.95,0.102,1.9519,-1.102,0.9749,0.0233,0
5,pair005_reference.png,pair005_search.png,finfet,sem,461.79,438.17,461.82,438.15,0.0361,1.953,-1.033,1.0146,0.162,1
6,pair006_reference.png,pair006_search.png,dram,sem,345.16,346.15,345.14,346.13,0.0283,1.9629,-1.394,1.0155,0.1507,0
7,pair007_reference.png,pair007_search.png,finfet,sem,407.87,273.81,407.82,273.8,0.051,1.975,0.686,0.9786,0.2069,1
8,pair008_reference.png,pair008_search.png,dram,sem,468.95,681.33,468.74,681.36,0.2121,1.9412,0.14,0.9918,0.2059,0
9,pair009_reference.png,pair009_search.png,finfet,sem,251.61,361.5,251.46,361.4,0.1803,1.9538,1.413,1.0032,0.049,0
10,pair010_reference.png,pair010_search.png,dram,sem,735.56,492.97,735.67,493.0,0.114,1.9663,-1.067,0.9927,0.1216,0
11,pair011_reference.png,pair011_search.png,finfet,sem,603.93,656.64,603.96,656.66,0.0361,1.9516,0.954,1.0118,0.1667,1
12,pair012_reference.png,pair012_search.png,dram,sem,456.85,766.02,456.8,766.0,0.0539,1.9649,-1.336,1.0223,0.0651,0
13,pair013_reference.png,pair013_search.png,finfet,sem,360.02,477.39,360.0,477.26,0.1315,1.9415,0.191,0.9767,0.1216,1
14,pair014_reference.png,pair014_search.png,dram,sem,657.27,347.66,657.4,347.7,0.136,1.9483,-0.844,0.9718,0.2274,0
15,pair015_reference.png,pair015_search.png,finfet,sem,261.44,629.53,261.55,629.41,0.1628,1.9567,0.518,1.0179,0.2266,1
16,pair016_reference.png,pair016_search.png,dram,sem,601.94,242.99,601.97,242.99,0.03,1.9521,-0.691,1.0136,0.1701,0
17,pair017_reference.png,pair017_search.png,finfet,sem,426.23,278.23,426.2,278.21,0.0361,1.9833,0.851,0.9736,0.2103,0
18,pair018_reference.png,pair018_search.png,dram,sem,271.08,255.63,271.02,255.63,0.06,1.9425,-1.494,0.9951,0.0059,1
19,pair019_reference.png,pair019_search.png,finfet,sem,511.27,599.25,511.27,599.23,0.02,1.9596,-0.62,0.9777,0.138,1
