pair_id,run_seed,pair_seed,style,modality,channels,visual_clarity,scale_ratio,noise_scale,pv_amplitude,reference,search,true_center_x,true_center_y,ref_span_in_search_px,rotation_deg,scale_jitter,on_mat_boundary,n_mats,nm_per_search_px,ref_blur_sigma,ref_dose,ref_read_sigma,ref_edge_gain,search_blur_sigma,search_dose,search_read_sigma,search_edge_gain,ref_exposure,search_exposure,search_defocus_nm
0,42,4200126,dram,sem,1,False,10.0,1.0,0.1637,pair000_reference.png,pair000_search.png,505.65,320.72,100.0,0.415,0.9748,1,9,10.0,0.5942,1355.44,0.00441,0.2094,1.0749,478.03,0.01226,0.2323,,,
1,42,4200127,finfet,sem,1,False,10.0,1.0,0.2215,pair001_reference.png,pair001_search.png,660.12,744.28,100.0,1.418,0.9756,0,9,10.0,0.7718,1048.08,0.00418,0.1948,0.932,367.01,0.00986,0.276,,,
2,42,4200128,dram,sem,1,False,10.0,1.0,0.24,pair002_reference.png,pair002_search.png,771.87,777.97,100.0,-1.143,1.0239,1,16,10.0,0.8395,1021.22,0.00473,0.2477,1.0365,447.56,0.0154,0.2454,,,
3,42,4200129,finfet,sem,1,False,10.0,1.0,0.1503,pair003_reference.png,pair003_search.png,442.79,474.68,100.0,0.091,0.9965,1,4,10.0,0.6343,1179.76,0.00899,0.1928,1.0803,426.84,0.01472,0.2323,,,
4,42,4200130,dram,sem,1,False,10.0,1.0,0.0697,pair004_reference.png,pair004_search.png,430.66,207.81,100.0,-1.094,1.0054,1,4,10.0,0.5737,961.78,0.00466,0.2135,0.9928,401.97,0.01027,0.2337,,,
5,42,4200131,finfet,sem,1,False,10.0,1.0,0.1132,pair005_reference.png,pair005_search.png,210.89,268.05,100.0,1.316,1.0183,0,4,10.0,0.7684,1227.28,0.00784,0.1904,1.0006,493.14,0.01238,0.1887,,,
6,42,4200132,dram,sem,1,False,10.0,1.0,0.0206,pair006_reference.png,pair006_search.png,646.29,487.0,100.0,1.012,1.0156,0,16,10.0,0.6939,1118.34,0.00588,0.2033,1.1208,424.68,0.01415,0.2021,,,
7,42,4200133,finfet,sem,1,False,10.0,1.0,0.1057,pair007_reference.png,pair007_search.png,684.25,441.11,100.0,0.016,1.0166,1,16,10.0,0.7107,1378.94,0.00593,0.2512,0.9235,442.43,0.00878,0.2314,,,
8,42,4200134,dram,sem,1,False,10.0,1.0,0.027,pair008_reference.png,pair008_search.png,510.95,509.64,100.0,-0.932,1.0094,1,4,10.0,0.5727,1073.25,0.00799,0.2325,1.115,459.34,0.01178,0.187,,,
9,42,4200135,finfet,sem,1,False,10.0,1.0,0.2557,pair009_reference.png,pair009_search.png,518.43,319.49,100.0,-1.498,1.0151,0,4,10.0,0.7997,1187.21,0.00793,0.24,0.9716,498.26,0.01305,0.2316,,,
