pair_id,run_seed,pair_seed,style,modality,channels,visual_clarity,scale_ratio,noise_scale,pv_amplitude,reference,search,true_center_x,true_center_y,ref_span_in_search_px,rotation_deg,scale_jitter,on_mat_boundary,n_mats,nm_per_search_px,ref_blur_sigma,ref_dose,ref_read_sigma,ref_edge_gain,search_blur_sigma,search_dose,search_read_sigma,search_edge_gain,ref_exposure,search_exposure,search_defocus_nm
0,42,4200126,dram,sem,1,False,10.0,1.0,0.1637,pair000_reference.png,pair000_search.png,505.65,320.72,100.0,0.415,0.9748,1,9,10.0,0.5942,1355.44,0.00441,0.2094,1.0749,478.03,0.01226,0.2323,,,
1,42,4200127,finfet,sem,1,False,10.0,1.0,0.2215,pair001_reference.png,pair001_search.png,660.12,744.28,100.0,1.418,0.9756,0,9,10.0,0.7718,1048.08,0.00418,0.1948,0.932,367.01,0.00986,0.276,,,
2,42,4200128,dram,sem,1,False,10.0,1.0,0.24,pair002_reference.png,pair002_search.png,771.87,777.97,100.0,-1.143,1.0239,1,16,10.0,0.8395,1021.22,0.00473,0.2477,1.0365,447.56,0.0154,0.2454,,,
3,42,4200129,finfet,sem,1,False,10.0,1.0,0.1503,pair003_reference.png,pair003_search.png,442.79,474.68,100.0,0.091,0.9965,1,4,10.0,0.6343,1179.76,0.00899,0.1928,1.0803,426.84,0.01472,0.2323,,,
4,42,4200130,dram,sem,1,False,10.0,1.0,0.0697,pair004_reference.png,pair004_search.png,430.66,207.81,100.0,-1.094,1.0054,1,4,10.0,0.5737,961.78,0.00466,0.2135,0.9928,401.97,0.01027,0.2337,,,
5,42,4200131,finfet,sem,1,False,10.0,1.0,0.1132,pair005_reference.png,pair005_search.png,210.89,268.05,100.0,1.316,1.0183,0,4,10.0,0.7684,1227.28,0.00784,0.1904,1.0006,493.14,0.01238,0.1887,,,
6,42,4200132,dram,sem,1,False,10.0,1.0,0.0206,pair006_reference.png,pair006_search.png,646.29,487.0,100.0,1.012,1.0156,0,16,10.0,0.6939,1118.34,0.00588,0.2033,1.1208,424.68,0.01415,0.2021,,,
7,42,4200133,finfet,sem,1,False,10.0,1.0,0.1057,pair007_reference.png,pair007_search.png,684.25,441.11,100.0,0.016,1.0166,1,16,10.0,0.7107,1378.94,0.00593,0.2512,0.9235,442.43,0.00878,0.2314,,,
8,42,4200134,dram,sem,1,False,10.0,1.0,0.027,pair008_reference.png,pair008_search.png,510.95,509.64,100.0,-0.932,1.0094,1,4,10.0,0.5727,1073.25,0.00799,0.2325,1.115,459.34,0.01178,0.187,,,
9,42,4200135,finfet,sem,1,False,10.0,1.0,0.2557,pair009_reference.png,pair009_search.png,518.43,319.49,100.0,-1.498,1.0151,0,4,10.0,0.7997,1187.21,0.00793,0.24,0.9716,498.26,0.01305,0.2316,,,
10,42,4200136,dram,sem,1,False,10.0,1.0,0.1582,pair010_reference.png,pair010_search.png,448.91,211.66,100.0,0.566,0.9973,1,4,10.0,0.7273,915.63,0.00593,0.2635,1.1107,356.89,0.01327,0.2286,,,
11,42,4200137,finfet,sem,1,False,10.0,1.0,0.253,pair011_reference.png,pair011_search.png,304.74,782.18,100.0,-0.752,0.9873,0,9,10.0,0.6287,1128.58,0.00468,0.2454,0.96,344.01,0.01092,0.2149,,,
12,42,4200138,dram,sem,1,False,10.0,1.0,0.2436,pair012_reference.png,pair012_search.png,457.79,235.98,100.0,-0.993,0.9795,0,4,10.0,0.6942,1282.48,0.00539,0.2671,1.0838,419.44,0.01132,0.1935,,,
13,42,4200139,finfet,sem,1,False,10.0,1.0,0.2559,pair013_reference.png,pair013_search.png,664.19,233.63,100.0,-1.032,1.0015,0,9,10.0,0.7389,1287.64,0.00409,0.2677,1.1708,398.68,0.00976,0.1786,,,
14,42,4200140,dram,sem,1,False,10.0,1.0,0.158,pair014_reference.png,pair014_search.png,478.77,223.11,100.0,0.048,0.9708,1,4,10.0,0.5668,1333.73,0.00426,0.2294,1.199,377.16,0.0146,0.2178,,,
15,42,4200141,finfet,sem,1,False,10.0,1.0,0.236,pair015_reference.png,pair015_search.png,510.4,295.67,100.0,1.297,1.0015,1,4,10.0,0.6692,1182.03,0.00699,0.2128,0.9642,386.64,0.01296,0.2239,,,
16,42,4200142,dram,sem,1,False,10.0,1.0,0.1297,pair016_reference.png,pair016_search.png,755.57,283.19,100.0,-0.753,0.9828,0,9,10.0,0.5576,1299.74,0.00514,0.2607,1.2342,340.91,0.01036,0.1891,,,
17,42,4200143,finfet,sem,1,False,10.0,1.0,0.0948,pair017_reference.png,pair017_search.png,228.24,212.83,100.0,-0.722,0.999,0,9,10.0,0.7502,1159.86,0.00773,0.2743,1.0315,338.37,0.01215,0.1811,,,
18,42,4200144,dram,sem,1,False,10.0,1.0,0.1016,pair018_reference.png,pair018_search.png,659.08,314.36,100.0,0.247,0.9977,0,9,10.0,0.8363,1195.32,0.00547,0.2396,0.9534,345.85,0.01574,0.205,,,
19,42,4200145,finfet,sem,1,False,10.0,1.0,0.2671,pair019_reference.png,pair019_search.png,309.91,384.53,100.0,-0.597,1.027,0,16,10.0,0.8355,1039.46,0.00677,0.2781,1.2338,405.2,0.00866,0.2567,,,
