pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,84721,8472354163,pair000_reference.png,pair000_search.png,dram,sem,766.43,475.76,746.89,475.69,19.5401,1.7576,0.105,1.0269,0.1003,0
1,84721,8472354164,pair001_reference.png,pair001_search.png,finfet,sem,333.92,220.83,333.93,220.82,0.0141,1.7897,-0.475,0.9855,0.0713,0
2,84721,8472354165,pair002_reference.png,pair002_search.png,dram,sem,448.61,608.94,448.7,609.02,0.1204,1.7861,-0.645,1.0211,0.2304,0
3,84721,8472354166,pair003_reference.png,pair003_search.png,finfet,sem,282.67,643.74,282.73,643.88,0.1523,1.7304,0.478,0.9805,0.2565,0
4,84721,8472354167,pair004_reference.png,pair004_search.png,dram,sem,350.41,250.4,350.34,250.27,0.1476,1.7725,1.056,0.9737,0.1791,0
5,84721,8472354168,pair005_reference.png,pair005_search.png,finfet,sem,712.8,368.49,712.78,368.49,0.02,1.7668,-0.066,1.0048,0.1059,0
6,84721,8472354169,pair006_reference.png,pair006_search.png,dram,sem,609.66,455.77,609.63,455.87,0.1044,1.7817,-0.39,1.0078,0.267,1
7,84721,8472354170,pair007_reference.png,pair007_search.png,finfet,sem,701.43,533.28,701.36,533.19,0.114,1.7778,-0.321,0.9704,0.241,1
8,84721,8472354171,pair008_reference.png,pair008_search.png,dram,sem,357.56,584.09,357.74,584.15,0.1897,1.8343,0.704,0.998,0.1545,0
9,84721,8472354172,pair009_reference.png,pair009_search.png,finfet,sem,583.06,450.72,583.1,450.72,0.04,1.8074,0.183,0.9951,0.0405,0
10,84721,8472354173,pair010_reference.png,pair010_search.png,dram,sem,471.91,553.22,472.09,553.09,0.222,1.7642,1.379,0.9911,0.1607,0
11,84721,8472354174,pair011_reference.png,pair011_search.png,finfet,sem,275.14,370.62,275.05,370.76,0.1664,1.7386,0.155,0.9923,0.0171,0
12,84721,8472354175,pair012_reference.png,pair012_search.png,dram,sem,744.73,425.33,744.81,425.31,0.0825,1.7721,0.995,0.9728,0.2071,0
13,84721,8472354176,pair013_reference.png,pair013_search.png,finfet,sem,346.55,636.17,346.57,636.19,0.0283,1.7978,1.295,1.0031,0.077,0
14,84721,8472354177,pair014_reference.png,pair014_search.png,dram,sem,293.99,232.24,293.97,232.16,0.0825,1.7993,-1.311,1.0153,0.1509,0
15,84721,8472354178,pair015_reference.png,pair015_search.png,finfet,sem,439.39,407.26,439.37,407.21,0.0539,1.7469,-1.285,1.0109,0.2043,0
16,84721,8472354179,pair016_reference.png,pair016_search.png,dram,sem,395.4,606.74,395.19,606.74,0.21,1.742,-0.656,0.9868,0.1398,0
17,84721,8472354180,pair017_reference.png,pair017_search.png,finfet,sem,638.25,431.26,638.11,431.25,0.1404,1.7584,-0.755,1.0079,0.0274,0
18,84721,8472354181,pair018_reference.png,pair018_search.png,dram,sem,331.5,278.58,331.62,278.71,0.1769,1.7734,-1.437,0.9943,0.2286,1
19,84721,8472354182,pair019_reference.png,pair019_search.png,finfet,sem,747.62,476.58,736.82,476.84,10.8031,1.7706,1.262,1.0049,0.0972,0
20,84721,8472354183,pair020_reference.png,pair020_search.png,dram,sem,281.22,666.27,281.25,666.26,0.0316,1.7737,1.323,0.9724,0.0849,0
21,84721,8472354184,pair021_reference.png,pair021_search.png,finfet,sem,749.24,572.5,749.19,572.63,0.1393,1.7619,1.108,1.0073,0.2071,0
22,84721,8472354185,pair022_reference.png,pair022_search.png,dram,sem,428.77,697.42,428.75,697.25,0.1712,1.788,-0.968,1.0113,0.1706,1
23,84721,8472354186,pair023_reference.png,pair023_search.png,finfet,sem,746.34,610.04,746.32,610.03,0.0224,1.7429,0.224,0.9911,0.0832,0
24,84721,8472354187,pair024_reference.png,pair024_search.png,dram,sem,236.46,298.25,236.52,298.29,0.0721,1.7728,-0.51,1.0045,0.0337,0
25,84721,8472354188,pair025_reference.png,pair025_search.png,finfet,sem,635.82,344.29,635.06,345.04,1.0678,1.7747,0.875,0.98,0.1082,1
26,84721,8472354189,pair026_reference.png,pair026_search.png,dram,sem,240.76,668.46,240.77,668.45,0.0141,1.7545,-0.241,0.9915,0.078,0
27,84721,8472354190,pair027_reference.png,pair027_search.png,finfet,sem,707.79,452.48,707.95,452.63,0.2193,1.7575,-0.473,0.9947,0.1126,0
28,84721,8472354191,pair028_reference.png,pair028_search.png,dram,sem,211.28,476.11,211.24,476.17,0.0721,1.7204,-1.493,0.9987,0.1183,1
29,84721,8472354192,pair029_reference.png,pair029_search.png,finfet,sem,255.59,533.63,254.88,533.69,0.7125,1.7448,1.455,0.9967,0.1353,0
