pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,55,5500165,pair000_reference.png,pair000_search.png,dram,sem,505.56,548.85,505.63,548.88,0.0762,1.962,0.817,1.0247,0.1272,0
1,55,5500166,pair001_reference.png,pair001_search.png,finfet,sem,731.58,500.61,731.62,500.77,0.1649,1.9671,-1.392,0.979,0.1694,1
2,55,5500167,pair002_reference.png,pair002_search.png,dram,sem,698.62,424.1,698.65,424.13,0.0424,2.0017,-0.748,1.016,0.1811,1
3,55,5500168,pair003_reference.png,pair003_search.png,finfet,sem,510.58,208.59,510.8,208.78,0.2907,1.9799,0.622,1.018,0.2417,0
4,55,5500169,pair004_reference.png,pair004_search.png,dram,sem,216.43,393.92,216.4,393.88,0.05,1.9659,-0.739,0.9919,0.0233,0
5,55,5500170,pair005_reference.png,pair005_search.png,finfet,sem,460.09,439.06,460.08,439.04,0.0224,1.9693,0.472,1.0169,0.162,1
6,55,5500171,pair006_reference.png,pair006_search.png,dram,sem,344.54,351.54,344.58,351.52,0.0447,1.9727,-0.26,1.0,0.1507,0
7,55,5500172,pair007_reference.png,pair007_search.png,finfet,sem,403.98,261.81,403.9,261.81,0.08,2.011,0.479,1.029,0.2069,1
8,55,5500173,pair008_reference.png,pair008_search.png,dram,sem,467.11,684.72,467.36,684.7,0.2508,2.0321,-0.24,1.0115,0.2059,0
9,55,5500174,pair009_reference.png,pair009_search.png,finfet,sem,257.37,352.66,257.47,352.75,0.1345,1.9708,-0.712,1.0013,0.049,0
10,55,5500175,pair010_reference.png,pair010_search.png,dram,sem,731.65,491.83,731.7,491.9,0.086,1.9564,-0.758,0.9764,0.1216,0
11,55,5500176,pair011_reference.png,pair011_search.png,finfet,sem,598.88,660.02,598.87,660.15,0.1304,1.9583,-0.898,1.0125,0.1667,1
12,55,5500177,pair012_reference.png,pair012_search.png,dram,sem,467.15,765.9,467.12,765.9,0.03,1.9618,0.833,1.0163,0.0651,0
13,55,5500178,pair013_reference.png,pair013_search.png,finfet,sem,352.72,477.33,352.57,477.31,0.1513,1.9726,0.614,1.0264,0.1216,1
14,55,5500179,pair014_reference.png,pair014_search.png,dram,sem,658.05,335.23,658.17,335.24,0.1204,1.9547,1.26,1.0134,0.2274,0
15,55,5500180,pair015_reference.png,pair015_search.png,finfet,sem,261.25,628.94,261.28,628.84,0.1044,1.9493,0.39,1.0175,0.2266,1
16,55,5500181,pair016_reference.png,pair016_search.png,dram,sem,602.59,242.78,602.65,242.81,0.0671,1.9678,-0.801,1.0152,0.1701,0
17,55,5500182,pair017_reference.png,pair017_search.png,finfet,sem,423.94,270.42,423.81,270.42,0.13,2.0794,0.781,1.0075,0.2103,0
18,55,5500183,pair018_reference.png,pair018_search.png,dram,sem,272.17,260.8,272.08,260.89,0.1273,2.2154,-1.018,0.9817,0.0059,1
19,55,5500184,pair019_reference.png,pair019_search.png,finfet,sem,513.97,600.81,513.99,600.76,0.0539,2.1139,0.792,0.9963,0.138,1
