pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,101,10100303,pair000_reference.png,pair000_search.png,dram,sem,368.12,241.25,368.12,241.26,0.01,2.0035,-0.366,0.9774,0.0143,0
1,101,10100304,pair001_reference.png,pair001_search.png,finfet,sem,775.53,521.49,783.82,521.66,8.2917,1.9465,-0.262,0.9928,0.0599,0
2,101,10100305,pair002_reference.png,pair002_search.png,dram,sem,399.52,714.01,399.55,713.98,0.0424,1.9741,0.259,0.9802,0.2368,0
3,101,10100306,pair003_reference.png,pair003_search.png,finfet,sem,577.72,277.76,578.16,277.7,0.4441,1.9606,-1.086,1.0243,0.01,0
4,101,10100307,pair004_reference.png,pair004_search.png,dram,sem,328.32,768.82,328.4,769.08,0.272,1.946,1.041,0.9807,0.0746,0
5,101,10100308,pair005_reference.png,pair005_search.png,finfet,sem,536.83,738.0,536.77,737.99,0.0608,1.9495,-0.38,0.988,0.114,0
6,101,10100309,pair006_reference.png,pair006_search.png,dram,sem,351.24,440.86,351.14,440.87,0.1005,1.9535,1.19,1.0199,0.21,0
7,101,10100310,pair007_reference.png,pair007_search.png,finfet,sem,318.7,493.12,318.64,493.09,0.0671,2.0305,-0.398,0.9991,0.1306,1
8,101,10100311,pair008_reference.png,pair008_search.png,dram,sem,406.35,236.14,406.28,236.15,0.0707,1.9505,-1.411,0.9937,0.0648,0
9,101,10100312,pair009_reference.png,pair009_search.png,finfet,sem,386.61,571.42,386.47,571.29,0.191,1.9449,0.781,1.0256,0.0992,0
10,101,10100313,pair010_reference.png,pair010_search.png,dram,sem,714.49,300.6,714.62,300.64,0.136,1.9455,0.114,1.0106,0.1824,0
11,101,10100314,pair011_reference.png,pair011_search.png,finfet,sem,731.13,539.95,731.11,539.96,0.0224,1.9552,-0.345,1.0249,0.2014,0
12,101,10100315,pair012_reference.png,pair012_search.png,dram,sem,231.31,765.44,231.43,765.4,0.1265,1.9731,1.394,1.0071,0.2407,0
13,101,10100316,pair013_reference.png,pair013_search.png,finfet,sem,495.77,642.26,495.99,642.19,0.2309,1.9588,0.825,0.9849,0.0198,0
14,101,10100317,pair014_reference.png,pair014_search.png,dram,sem,432.94,321.3,432.91,321.27,0.0424,1.9441,-0.183,1.0112,0.1423,1
15,101,10100318,pair015_reference.png,pair015_search.png,finfet,sem,381.97,342.2,380.99,341.98,1.0044,1.9548,-0.924,0.9912,0.0921,1
16,101,10100319,pair016_reference.png,pair016_search.png,dram,sem,495.72,237.63,495.76,237.78,0.1552,1.9582,-1.354,0.9857,0.0565,1
17,101,10100320,pair017_reference.png,pair017_search.png,finfet,sem,737.57,220.28,737.39,220.31,0.1825,1.9649,-0.373,0.9711,0.1834,1
18,101,10100321,pair018_reference.png,pair018_search.png,dram,sem,205.8,470.57,205.86,470.59,0.0632,1.9576,-0.877,1.0225,0.1631,1
19,101,10100322,pair019_reference.png,pair019_search.png,finfet,sem,626.97,771.93,627.02,772.05,0.13,1.9569,-0.188,0.9798,0.2319,0
20,101,10100323,pair020_reference.png,pair020_search.png,dram,sem,479.04,305.46,479.06,305.5,0.0447,3.219,0.8,0.9796,0.0094,0
21,101,10100324,pair021_reference.png,pair021_search.png,finfet,sem,347.04,345.06,346.99,345.07,0.051,2.9764,0.476,0.9824,0.0881,1
22,101,10100325,pair022_reference.png,pair022_search.png,dram,sem,478.43,527.43,478.55,527.37,0.1342,2.9532,0.383,1.0295,0.2518,0
23,101,10100326,pair023_reference.png,pair023_search.png,finfet,sem,284.67,269.12,284.7,269.18,0.0671,2.9134,-0.439,1.001,0.055,1
24,101,10100327,pair024_reference.png,pair024_search.png,dram,sem,444.74,703.52,444.79,703.54,0.0539,2.9839,-0.626,0.9866,0.2264,1
25,101,10100328,pair025_reference.png,pair025_search.png,finfet,sem,430.45,211.76,430.24,185.78,25.9808,2.9305,0.612,0.9977,0.0133,1
26,101,10100329,pair026_reference.png,pair026_search.png,dram,sem,782.86,471.12,782.82,471.13,0.0412,3.0065,-0.75,0.9761,0.1644,0
27,101,10100330,pair027_reference.png,pair027_search.png,finfet,sem,407.81,743.71,408.43,746.03,2.4014,2.9206,-1.135,0.9954,0.1269,0
28,101,10100331,pair028_reference.png,pair028_search.png,dram,sem,734.65,524.74,734.7,524.67,0.086,2.9609,0.634,0.9941,0.1008,1
29,101,10100332,pair029_reference.png,pair029_search.png,finfet,sem,521.61,697.51,521.61,697.48,0.03,2.9391,-0.012,0.973,0.2613,0
