pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,303,30300909,pair000_reference.png,pair000_search.png,dram,sem,615.02,557.36,614.95,557.27,0.114,1.7708,-0.092,1.0098,0.0,0
1,303,30300910,pair001_reference.png,pair001_search.png,finfet,sem,410.21,638.45,410.14,638.42,0.0762,1.7046,0.196,0.9771,0.0,0
2,303,30300911,pair002_reference.png,pair002_search.png,dram,sem,350.99,262.23,350.91,262.33,0.1281,1.632,-1.129,0.9938,0.0,1
3,303,30300912,pair003_reference.png,pair003_search.png,finfet,sem,778.6,671.46,778.17,568.09,103.3709,1.6349,0.237,1.0087,0.0,0
4,303,30300913,pair004_reference.png,pair004_search.png,dram,sem,298.32,493.12,298.24,493.15,0.0854,1.7679,-0.102,1.0028,0.0,0
5,303,30300914,pair005_reference.png,pair005_search.png,finfet,sem,677.48,648.39,677.34,648.26,0.191,1.6753,-1.19,0.9926,0.0,1
6,303,30300915,pair006_reference.png,pair006_search.png,dram,sem,285.37,620.69,285.38,620.67,0.0224,1.7833,-0.319,1.0062,0.0,0
7,303,30300916,pair007_reference.png,pair007_search.png,finfet,sem,761.03,442.79,761.03,442.92,0.13,1.7166,-0.225,0.9912,0.0,1
8,303,30300917,pair008_reference.png,pair008_search.png,dram,sem,448.29,355.76,448.27,355.79,0.0361,1.6688,0.791,0.9843,0.0,0
9,303,30300918,pair009_reference.png,pair009_search.png,finfet,sem,533.25,536.03,533.24,536.02,0.0141,1.6495,1.237,1.0065,0.0,1
10,303,30300919,pair010_reference.png,pair010_search.png,dram,sem,517.46,533.55,552.65,533.74,35.1905,1.7673,-0.283,1.0141,0.0,0
11,303,30300920,pair011_reference.png,pair011_search.png,finfet,sem,684.5,605.76,684.67,605.89,0.214,1.7828,0.838,0.9915,0.0,1
12,303,30300921,pair012_reference.png,pair012_search.png,dram,sem,415.43,575.04,415.36,575.05,0.0707,1.805,-0.726,1.0014,0.0,0
13,303,30300922,pair013_reference.png,pair013_search.png,finfet,sem,279.16,512.1,279.1,512.04,0.0849,1.7557,-0.416,0.9789,0.0,0
14,303,30300923,pair014_reference.png,pair014_search.png,dram,sem,726.96,440.37,905.06,689.96,306.6183,1.7707,-1.036,1.0196,0.0,1
15,303,30300924,pair015_reference.png,pair015_search.png,finfet,sem,309.22,608.74,309.18,608.74,0.04,1.7154,-0.444,1.0043,0.0,1
16,303,30300925,pair016_reference.png,pair016_search.png,dram,sem,777.65,402.01,777.63,402.0,0.0224,1.7068,0.306,1.0213,0.0,0
17,303,30300926,pair017_reference.png,pair017_search.png,finfet,sem,491.71,623.48,491.79,623.45,0.0854,1.6581,-0.626,1.0276,0.0,0
18,303,30300927,pair018_reference.png,pair018_search.png,dram,sem,639.34,544.01,639.35,543.94,0.0707,1.6827,-1.373,0.9739,0.0,0
19,303,30300928,pair019_reference.png,pair019_search.png,finfet,sem,540.49,664.24,540.53,664.11,0.136,1.6569,1.331,1.0116,0.0,1
20,303,30300929,pair020_reference.png,pair020_search.png,dram,sem,475.75,598.8,475.78,598.8,0.03,1.6754,-0.476,1.0076,0.0,0
21,303,30300930,pair021_reference.png,pair021_search.png,finfet,sem,349.03,682.66,349.04,682.69,0.0316,1.6027,0.113,0.9851,0.0,1
22,303,30300931,pair022_reference.png,pair022_search.png,dram,sem,508.51,235.51,508.17,254.0,18.4931,1.6505,-0.701,1.029,0.0,0
23,303,30300932,pair023_reference.png,pair023_search.png,finfet,sem,541.47,284.43,541.51,284.37,0.0721,1.5557,-0.312,0.9798,0.0,1
24,303,30300933,pair024_reference.png,pair024_search.png,dram,sem,244.81,778.05,244.86,778.08,0.0583,1.641,0.236,0.9902,0.0,0
25,303,30300934,pair025_reference.png,pair025_search.png,finfet,sem,468.02,767.09,467.97,767.09,0.05,1.6857,-1.013,1.0094,0.0,1
26,303,30300935,pair026_reference.png,pair026_search.png,dram,sem,511.38,252.18,445.2,252.02,66.1802,1.7429,-0.083,1.0257,0.0,1
27,303,30300936,pair027_reference.png,pair027_search.png,finfet,sem,263.61,290.96,263.73,290.98,0.1217,1.7483,0.989,0.9951,0.0,0
28,303,30300937,pair028_reference.png,pair028_search.png,dram,sem,473.76,507.0,473.81,507.08,0.0943,1.6786,0.699,1.0274,0.0,1
29,303,30300938,pair029_reference.png,pair029_search.png,finfet,sem,354.33,687.9,354.3,687.93,0.0424,1.7121,-0.24,0.9748,0.0,0
