pair_id,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,pair000_reference.png,pair000_search.png,dram,sem,277.55,439.5,277.32,439.46,0.2335,2.3911,-1.796,1.0239,0.2518,1
1,pair001_reference.png,pair001_search.png,finfet,sem,277.1,661.5,277.1,661.33,0.17,2.5018,1.088,1.0194,0.1672,1
2,pair002_reference.png,pair002_search.png,dram,sem,509.67,558.54,509.61,558.46,0.1,2.4641,0.372,1.0039,0.1524,0
3,pair003_reference.png,pair003_search.png,finfet,sem,453.04,599.14,453.01,599.16,0.0361,2.45,1.015,0.9891,0.1531,1
4,pair004_reference.png,pair004_search.png,dram,sem,421.62,225.02,421.69,224.98,0.0806,2.7117,0.688,0.9749,0.1626,1
5,pair005_reference.png,pair005_search.png,finfet,sem,622.76,388.92,622.7,388.92,0.06,2.6976,-1.881,0.9983,0.2793,0
6,pair006_reference.png,pair006_search.png,dram,sem,484.1,661.46,484.02,661.52,0.1,3.3836,-1.567,0.9876,0.2756,0
7,pair007_reference.png,pair007_search.png,finfet,sem,501.17,288.83,501.18,288.82,0.0141,3.5942,1.388,0.9864,0.0388,0
8,pair008_reference.png,pair008_search.png,dram,sem,729.84,501.62,729.78,501.6,0.0632,3.1271,-1.482,1.0168,0.0071,1
9,pair009_reference.png,pair009_search.png,finfet,sem,278.73,354.46,278.77,354.46,0.04,3.1658,1.426,1.0263,0.2135,0
10,pair010_reference.png,pair010_search.png,dram,sem,359.45,517.65,359.79,517.61,0.3423,3.5306,1.506,0.9705,0.2742,0
11,pair011_reference.png,pair011_search.png,finfet,sem,625.95,757.45,626.08,757.43,0.1315,3.0813,1.841,1.025,0.2006,1
12,pair012_reference.png,pair012_search.png,dram,sem,621.62,448.4,621.61,448.34,0.0608,3.0133,-1.698,0.9921,0.1207,0
13,pair013_reference.png,pair013_search.png,finfet,sem,585.23,530.88,585.27,530.9,0.0447,3.1129,1.84,0.9847,0.2608,1
14,pair014_reference.png,pair014_search.png,dram,sem,505.76,241.94,505.73,241.96,0.0361,2.9569,-0.403,1.0166,0.1449,0
15,pair015_reference.png,pair015_search.png,finfet,sem,729.91,233.91,729.74,233.98,0.1838,3.072,-0.19,0.9793,0.1185,0
16,pair016_reference.png,pair016_search.png,dram,sem,707.12,310.73,707.22,310.57,0.1887,3.1823,-1.449,1.0094,0.001,1
17,pair017_reference.png,pair017_search.png,finfet,sem,511.73,654.68,511.6,654.82,0.191,3.0253,-1.825,1.0089,0.1774,0
18,pair018_reference.png,pair018_search.png,dram,sem,667.68,690.35,667.57,690.37,0.1118,2.9709,1.122,1.0018,0.232,0
19,pair019_reference.png,pair019_search.png,finfet,sem,331.71,535.08,331.66,535.04,0.064,3.0078,1.455,0.9934,0.0711,0
