pair_id,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,pair000_reference.png,pair000_search.png,dram,sem,600.75,598.62,600.51,598.92,0.3842,2.0212,-0.995,1.0182,0.0604,1
1,pair001_reference.png,pair001_search.png,finfet,sem,440.53,214.75,440.46,214.88,0.1476,2.0845,0.823,1.0113,0.1121,0
2,pair002_reference.png,pair002_search.png,dram,sem,425.61,275.99,425.68,275.91,0.1063,1.9677,-0.084,1.0288,0.1786,1
3,pair003_reference.png,pair003_search.png,finfet,sem,363.93,489.07,366.23,487.0,3.0943,1.9465,-0.96,1.0176,0.253,0
4,pair004_reference.png,pair004_search.png,dram,sem,511.41,723.25,511.34,723.2,0.086,1.9687,0.164,0.9793,0.0652,0
5,pair005_reference.png,pair005_search.png,finfet,sem,660.74,335.06,660.71,335.1,0.05,2.0136,-1.474,0.9965,0.1691,1
6,pair006_reference.png,pair006_search.png,dram,sem,625.23,289.39,625.37,289.6,0.2524,2.1611,-0.736,1.0063,0.2143,1
7,pair007_reference.png,pair007_search.png,finfet,sem,585.61,568.76,585.82,585.0,16.2414,2.0784,0.77,1.0187,0.057,0
8,pair008_reference.png,pair008_search.png,dram,sem,330.8,747.47,330.77,747.45,0.0361,1.9568,-0.274,1.0144,0.1415,0
9,pair009_reference.png,pair009_search.png,finfet,sem,280.37,721.42,280.11,721.26,0.3053,2.0118,0.472,0.9804,0.0189,0
10,pair010_reference.png,pair010_search.png,dram,sem,354.37,481.58,354.45,481.67,0.1204,1.9782,0.79,0.9905,0.275,1
11,pair011_reference.png,pair011_search.png,finfet,sem,756.66,745.61,756.69,745.66,0.0583,1.979,0.226,1.0076,0.2755,0
12,pair012_reference.png,pair012_search.png,dram,sem,706.12,475.88,706.18,475.93,0.0781,1.9645,-0.962,1.0214,0.1672,1
13,pair013_reference.png,pair013_search.png,finfet,sem,635.46,381.72,635.31,381.91,0.2421,1.9636,-0.368,1.0034,0.1454,0
14,pair014_reference.png,pair014_search.png,dram,sem,285.37,584.42,285.36,584.46,0.0412,2.0018,0.868,1.0035,0.1931,0
15,pair015_reference.png,pair015_search.png,finfet,sem,490.66,570.54,96.03,103.87,611.1577,2.647,0.924,0.9861,0.0474,0
16,pair016_reference.png,pair016_search.png,dram,sem,528.38,662.64,528.33,662.61,0.0583,2.2111,0.782,1.0109,0.0602,0
17,pair017_reference.png,pair017_search.png,finfet,sem,371.05,444.85,371.0,444.9,0.0707,2.2452,1.205,0.9847,0.1543,1
18,pair018_reference.png,pair018_search.png,dram,sem,601.67,632.4,601.69,632.39,0.0224,2.3625,-0.385,0.9969,0.1115,0
19,pair019_reference.png,pair019_search.png,finfet,sem,437.04,432.71,231.2,168.07,335.2677,2.2985,0.335,0.9931,0.0538,0
